Generative AI Systems	Generative AI systems are AI models that can create new and original content such as texts, images, audio, or videos, rather than just analyzing or classifying existing data. They learn from training data to generate similar but new content.	AI Across Domains (WiSe 25/26)
Modern Generative AI Models	ChatGPT, LLaMA, and Gemini are Large Language Models characterized by their ability to generate new, coherent content. They can create texts, code, images, and other media forms based on input prompts.	AI Across Domains (WiSe 25/26)
Multimodal AI Systems	Modern generative AI systems like ChatGPT, Claude, and Gemini support multimodal inputs and outputs, meaning they can process and generate various data types (text, images, audio) simultaneously. This distinguishes them from earlier systems that were limited to a single data type.	AI Across Domains (WiSe 25/26)
Multimodal Capabilities	The ability to generate an image from a text input is a characteristic feature of multimodal generative AI systems. These systems can translate and combine between different modalities, which earlier systems could not do.	AI Across Domains (WiSe 25/26)
Neural Networks	Artificial neural networks form the technological foundation of modern generative models. These networks consist of interconnected neurons that learn through training to recognize complex patterns in data and generate new content.	AI Across Domains (WiSe 25/26)
Architectures for Content Generation	Transformer, Generative Adversarial Networks (GANs), and Diffusion models are specialized neural network architectures developed for content generation. Each architecture has its own strengths: Transformers for sequential data, GANs for realistic images, and Diffusion models for high-quality visual content.	AI Across Domains (WiSe 25/26)
Deepfakes According to EU Law	According to the EU law on artificial intelligence, deepfakes are AI-generated or manipulated media content that deceptively resemble real persons, objects, or events and can falsely appear as authentic. This poses a significant threat to information integrity.	EU AI Act (2024)
Political Dangers of Deepfakes	Deepfakes can undermine trust in democratic processes by spreading false information about political candidates or events. This can affect the integrity of elections and manipulate public opinion.	EU AI Act (2024)
Softfakes	Softfakes are AI-generated representations that, while appearing unrealistic, are frequently used for visual enhancement or manipulation, particularly in political contexts. They are less convincing than deepfakes but can still be deceptive.	AI Across Domains (WiSe 25/26)
GAN Training Process	In a Generative Adversarial Network (GAN), two networks compete: The generator creates new data, while the discriminator tries to distinguish real from generated data. This "adversarial" process causes both networks to continuously improve until the generator can produce very realistic data.	Goodfellow, I., et al. (2014). "Generative Adversarial Networks." Advances in Neural Information Processing Systems.
Environmental Impact of Large AI Models	The training and use of large AI models like GPT-4 require enormous computing resources, leading to excessive electricity consumption and significant CO₂ emissions. These environmental concerns are increasingly recognized as a critical challenge for the sustainable development of AI technology.	Clarote & AI4Media / Better Images of AI / Labour/Resources / Licenced by CC-BY 4.0
Water Consumption in AI Infrastructure	Water is essential for cooling data centers and generating electricity required for operating AI systems. The high water consumption in AI infrastructure represents a significant environmental problem, particularly in regions with water scarcity.	Facebook Engineering. (2020, December 9). [One of Facebook's data centers in Prineville, Oregon]. In How Facebook keeps its large-scale infrastructure hardware up and running. https://engineering.fb.com/2020/12/09/data-center-engineering/how-facebook-keeps-its-large-scale-infrastructure-hardware-up-and-running/
Measures to Reduce Environmental Impact	To reduce the environmental impact of AI systems, the development of energy-efficient hardware and algorithms is recommended at the industry level. Additional measures include transparency about resource consumption and collaboration with environmental scientists.	iStock; edited by MIT News (https://news.mit.edu/2025/explained-generative-ai-environmental-impact-0117)
AI and Electronic Waste	The large-scale introduction of AI systems could lead to millions of tons of electronic waste by 2030, as the technology requires continuous updating and replacement of hardware. This represents a significant challenge for waste management and the environment.	"Generative AI Has a Massive E-Waste Problem: Rapid growth could result in an annual e-waste stream of 2.5 million tonnes by 2030" - IEEE Spectrum. https://spectrum.ieee.org/e-waste.
