KI-Definition - Uneinigkeit	Es gibt keine allgemein anerkannte Definition von KI, weil Menschen und Forschende unterschiedliche Auffassungen von Intelligenz haben. Einige definieren KI durch Vergleich mit menschlicher Intelligenz, andere durch Funktionalität, wieder andere durch technische Fähigkeiten. Diese Vielfalt der Perspektiven macht eine einheitliche Definition schwierig.	Kamilla Tenorio (2026), AI Across Domains
Intelligenz - Begriff	Der Begriff "Intelligenz" ist weit gefasst und uneindeutig, was viele Forschende dazu veranlasst, ihn in KI-Definitionen zu vermeiden. Stattdessen konzentrieren sie sich auf spezifische Fähigkeiten wie Problemlösung, Lernen oder Anpassung, um Missverständnisse zu vermeiden.	Kamilla Tenorio (2026), AI Across Domains
Anthropomorphismus - Problem	Wenn KI durch Vergleich mit menschlicher Intelligenz definiert wird, kann Anthropomorphismus auftreten - die Tendenz, KI-Systemen menschliche Eigenschaften zuzuschreiben. Dies führt zu Missverständnissen und unrealistischen Erwartungen über die Fähigkeiten von KI-Systemen.	Kamilla Tenorio (2026), AI Across Domains
Traditionelle Computersysteme	Traditionelle Computersysteme erzeugen ihre Ausgaben durch das Befolgen vordefinierter, vom Menschen festgelegter Regeln. Sie sind deterministisch und vorhersagbar - bei gleicher Eingabe produzieren sie immer die gleiche Ausgabe, ohne sich anzupassen oder zu lernen.	Kamilla Tenorio (2026), AI Across Domains
Anthropomorphismus - Definition	Anthropomorphismus bedeutet, nicht-menschlichen Entitäten (wie KI-Systemen) menschliche Eigenschaften, Emotionen oder Verhaltensweisen zuzuschreiben. Im KI-Kontext kann dies zu überhöhten Erwartungen und Missverständnissen über die tatsächlichen Fähigkeiten von Systemen führen.	Kamilla Tenorio (2026), AI Across Domains
Wissensbasierte KI-Systeme	Wissensbasierte KI-Systeme nutzen eine Wissensbasis (Fakten und Regeln) und eine Inferenzmaschine, um logische Schlussfolgerungen zu ziehen. Sie sind transparent und nachvollziehbar, da das Wissen explizit repräsentiert ist, im Gegensatz zu datengetriebenen Ansätzen wie maschinellem Lernen.	Kamilla Tenorio (2026), AI Across Domains
EU-KI-Gesetz - Definition	Das EU-KI-Gesetz definiert ein KI-System als ein maschinengestütztes System, das mit unterschiedlichem Autonomiegrad arbeitet, sich nach Bereitstellung anpassen kann und Vorhersagen, Inhalte, Empfehlungen oder Entscheidungen erzeugt. Ein Spamfilter, der aus Beispielen lernt, erfüllt diese Kriterien.	Kamilla Tenorio (2026), AI Across Domains
Maschinelles Lernen vs. wissensbasierte KI	Der zentrale Unterschied: Maschinelles Lernen leitet Ergebnisse aus dem Gelernten während des Trainings ab (datengetrieben), während wissensbasierte KI aus explizit codiertem Wissen im Computer schlussfolgert (regelbasiert). ML erkennt Muster in Daten, wissensbasierte KI nutzt logische Inferenz.	Kamilla Tenorio (2026), AI Across Domains
Wissensbasierte KI - Komponenten	Typische Bestandteile eines wissensbasierten KI-Systems sind eine Wissensbasis (Fakten und Regeln) und eine Inferenzmaschine (logisches Schlussfolgern). Die Wissensbasis speichert das explizite Wissen, die Inferenzmaschine zieht daraus Schlussfolgerungen.	Kamilla Tenorio (2026), AI Across Domains
Industrieroboter - KI-Klassifikation	Ein Industrieroboter kann als KI-System eingestuft werden, wenn er KI-Techniken nutzt, um zu lernen und seine Leistung anzupassen. Einfache programmierte Roboter, die nur vordefinierte Aufgaben ausführen, sind keine KI-Systeme, da sie sich nicht anpassen oder lernen.	Kamilla Tenorio (2026), AI Across Domains
EU-KI-Gesetz - Definition	Das EU-KI-Gesetz (2024) definiert ein KI-System als ein maschinengestütztes System, das mit unterschiedlichem Autonomiegrad arbeitet, sich nach Bereitstellung anpassen kann und basierend auf Eingaben Vorhersagen, Inhalte, Empfehlungen oder Entscheidungen erzeugt, die reale oder virtuelle Umgebungen beeinflussen können.	Kamilla Tenorio (2026), AI Across Domains
KI-Techniken	Maschinelles Lernen ist eine KI-Technik - eine Methode oder ein Ansatz zur Entwicklung von KI-Systemen. ChatGPT, Grammarly und DeepL sind hingegen konkrete KI-Anwendungen oder -Produkte, die KI-Techniken nutzen, aber nicht die Techniken selbst sind.	Kamilla Tenorio (2026), AI Across Domains
